aar;mnd;lengde;bredde;redskap;starttid;stopptid;taueT;bunndyp;opening;dist;tilstand;kvalitet;delnr;akode;art;latin;maal_fangst;fangstKvant;fangstAnt;maal_lprov;lengdemaal;lengdeProveKv;lengdeProveAnt;interv;kjonn;Min;Max;L000_009;L010_014;L015_019;L020_024;L025_029;L030_034;L035_039;L040_044;L045_049;L050_054;L055_059;L060_064;L065_069;L070_074;L075_079;L080_084;L085_089;L090_094;L095_099;L100_104;L105_109;L110_114;L115_119;L120_124;L125_129;L130_134;L135_139;L140_144;L145_149;L150_154;L155_159;L160_164;L165_169;L170_174;L175_179;L180_184;L185_189;L190_194;L195_199;L200_999;L1000_9999;Sum
1989;1;1.5;60.133;3120;1612;1642;0.5;135;-1;1.5;1;1;1;2;BREIFLABB   ;LOPHIUS PISCATORIUS;1;14.8;3;1;E;14.8;3;3; ;55;78;;;;;;;;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;3
1989;1;1.5;60.133;3120;1612;1642;0.5;135;-1;1.5;1;1;1;2;BROSME      ;BROSME BROSME;1;0.2;1;1;E;0.2;1;3; ;28;28;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1989;1;1.5;60.133;3120;1612;1642;0.5;135;-1;1.5;1;1;1;2;FIRETRÅDET T;ENCHELYOPUS CIMBRIUS;1;0.4;10;1;E;0.4;10;3; ;15;25;;;6;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10
1989;1;1.5;60.133;3120;1612;1642;0.5;135;-1;1.5;1;1;1;2;GAPEFLYNDRE ;HIPPOGLOSSOIDES PLATESSOIDES;1;3;138;1;E;1.304;60;3; ;9;23;1;41;17;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60
1989;1;1.5;60.133;3120;1612;1642;0.5;135;-1;1.5;1;1;1;2;HVITTING    ;MERLANGIUS MERLANGUS;1;14.9;84;1;E;14.9;84;3; ;13;37;;4;7;5;43;21;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84
1989;1;1.5;60.133;3120;1612;1642;0.5;135;-1;1.5;1;1;1;2;HYSE        ;MELANOGRAMMUS AEGLEFINUS;1;3.2;12;1;E;3.2;12;3; ;23;39;;;;2;5;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12
1989;1;1.5;60.133;3120;1612;1642;0.5;135;-1;1.5;1;1;1;2;KNURR       ;EUTRIGLA GURNARDUS;1;1.1;8;1;E;1.1;8;3; ;20;30;;;;4;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8
1989;1;1.5;60.133;3120;1612;1642;0.5;135;-1;1.5;1;1;1;2;SMØRFLYNDRE ;GLYPTOCEPHALUS CYNOGLOSSUS;1;12.8;108;1;E;6.4;54;3; ;14;43;;1;1;25;15;7;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54
1989;1;1.5;60.133;3120;1612;1642;0.5;135;-1;1.5;1;1;1;2;STRØMSILD   ;ARGENTINA SPHYRAENA;1;6.2;204;1;E;1.398;46;3; ;12;22;;7;27;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46
1989;1;1.5;60.133;3120;1612;1642;0.5;135;-1;1.5;1;1;1;2;TORSK       ;GADUS MORHUA;1;2.8;1;1;E;2.8;1;3; ;66;66;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1989;1;1.5;60.133;3120;1612;1642;0.5;135;-1;1.5;1;1;1;2;VASSILD     ;ARGENTINA SILUS;1;0.2;8;1;E;0.2;8;3; ;13;16;;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8
1989;1;1.5;60.133;3120;1612;1642;0.5;135;-1;1.5;1;1;1;2;ØYEPÅL      ;TRISOPTERUS ESMARKII;1;7.8;429;1;E;2.6;143;3; ;10;20;;107;34;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;143
1989;1;1.967;61.067;3120;808;838;0.5;133;-1;1.5;1;1;1;2;BREIFLABB   ;LOPHIUS PISCATORIUS;1;10;2;1;E;10;2;3; ;64;73;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
1989;1;1.967;61.067;3120;808;838;0.5;133;-1;1.5;1;1;1;2;BROSME      ;BROSME BROSME;1;1.6;4;1;E;1.6;4;3; ;20;49;;;;2;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
1989;1;1.967;61.067;3120;808;838;0.5;133;-1;1.5;1;1;1;2;GAPEFLYNDRE ;HIPPOGLOSSOIDES PLATESSOIDES;1;2.4;102;1;E;2.4;102;3; ;6;37;17;58;26;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;102
1989;1;1.967;61.067;3120;808;838;0.5;133;-1;1.5;1;1;1;2;GLASSVAR    ;LEPIDORHOMBUS WHIFFIAGONIS;1;1.2;3;1;E;1.2;3;3; ;33;41;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
1989;1;1.967;61.067;3120;808;838;0.5;133;-1;1.5;1;1;1;2;HVITTING    ;MERLANGIUS MERLANGUS;1;15.5;72;1;E;15.5;72;3; ;20;43;;;;4;41;24;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72
1989;1;1.967;61.067;3120;808;838;0.5;133;-1;1.5;1;1;1;2;HYSE        ;MELANOGRAMMUS AEGLEFINUS;1;42.7;96;1;E;42.7;96;3; ;12;57;;5;4;16;15;22;10;9;7;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96
1989;1;1.967;61.067;3120;808;838;0.5;133;-1;1.5;1;1;1;2;KNURR       ;EUTRIGLA GURNARDUS;1;5.9;17;1;E;5.9;17;3; ;17;39;;;1;;1;7;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17
1989;1;1.967;61.067;3120;808;838;0.5;133;-1;1.5;1;1;1;2;LANGE       ;MOLVA MOLVA;1;1.9;2;1;E;1.9;2;3; ;51;58;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
