spp	asymptotic_weight	asympototic_length	K	Efficiency	class	genus	superorder	lifespan
Abralia veranyi	9	4.9		0.3	Cephalopoda	Abralia	decapodiformes	9
Abraliopsis felis	8	4.5		0.3	Cephalopoda	Abraliopsis	decapodiformes	9
Alloteuthis media	35	13.2		0.3	Cephalopoda	Alloteuthis	decapodiformes	18
Alloteuthis subulata	45	184		0.3	Cephalopoda	Alloteuthis	decapodiformes	9
Bathypolypus arcticus	400	7		0.3	Cephalopoda	Bathypolypus	octopodiformes	18
Belonella borealis	300	50		0.3	Cephalopoda	Belonella	decapodiformes	30
Benthoctopus	219	14.2		0.3	Cephalopoda	Benthoctopus	octopodiformes	18
Benthoctopus leioderma	148	7		0.3	Cephalopoda	Benthoctopus	octopodiformes	18
Benthoctopus oregonensis	180	9.3		0.3	Cephalopoda	Benthoctopus	octopodiformes	18
Benthoctopus sibiricus	180	9.3		0.3	Cephalopoda	Benthoctopus	octopodiformes	18
Benthoctopus sp.	219	14.2		0.3	Cephalopoda	Benthoctopus	octopodiformes	18
Berryteuthis anonychus	116	15		0.3	Cephalopoda	Berryteuthis	decapodiformes	12
Berryteuthis magister	618	18		0.3	Cephalopoda	Berryteuthis	decapodiformes	24
Cephalopoda	400	17.5		0.3	Cephalopoda	Cephalopoda	decapodiformes	12
Cephalopoda spp.	400	17.5		0.3	Cephalopoda	Cephalopoda	octopodiformes	12
Chiroteuthis calyx	70	10		0.3	Cephalopoda	Chiroteuthis	decapodiformes	26
Chiroteuthis sp.	70	10		0.3	Cephalopoda	Chiroteuthis	decapodiformes	24
Cranchia scabra	3	2		0.3	Cephalopoda	Cranchia	decapodiformes	9
Cranchiidae	100	8		0.3	Cephalopoda	Cranchiidae	decapodiformes	9
Doryteuthis opalescens	148	19	1	0.3	Cephalopoda	Doryteuthis	decapodiformes	12
Dosidicus gigas	3000	80	1.2	0.3	Cephalopoda	Dosidicus	decapodiformes	12
Eledone cirrhosa	1200	19	0.4	0.3	Cephalopoda	Eledone	octopodiformes	30
Eledone moschata	1414	19		0.3	Cephalopoda	Eledone	octopodiformes	20
Enteroctopus dofleini	50000	60		0.3	Cephalopoda	Enteroctopus	octopodiformes	36
Galiteuthis phyllura	300	50		0.3	Cephalopoda	Galiteuthis	decapodiformes	30
Gonatidae	300	20		0.3	Cephalopoda	Gonatidae	decapodiformes	24
Gonatopsis borealis	1500	30		0.3	Cephalopoda	Gonatopsis	decapodiformes	12
Gonatopsis makko	3000	62		0.3	Cephalopoda	Gonatopsis	decapodiformes	18
Gonatopsis sp.	2250	46		0.3	Cephalopoda	Gonatopsis	decapodiformes	12
Gonatus	140	13		0.3	Cephalopoda	Gonatus	decapodiformes	24
Gonatus berryi	219	19		0.3	Cephalopoda	Gonatus	decapodiformes	24
Gonatus middendorffi	2400	55		0.3	Cephalopoda	Gonatus	decapodiformes	24
Gonatus onyx	106	15		0.3	Cephalopoda	Gonatus	decapodiformes	24
Gonatus pyros	138	13		0.3	Cephalopoda	Gonatus	decapodiformes	24
Gonatus fabricii	526	30		0.3	Cephalopoda	Gonatus	decapodiformes	24
Gonatus sp.	140	13		0.3	Cephalopoda	Gonatus	decapodiformes	24
Graneledone boreopacifica	300	14.5		0.3	Cephalopoda	Graneledone	octopodiformes	60
Histioteuthis dofleini	1400	24		0.3	Cephalopoda	Histioteuthis	decapodiformes	12
Histioteuthis heteropsis	1400	24		0.3	Cephalopoda	Histioteuthis	decapodiformes	12
Histioteuthis hoylei	1400	24		0.3	Cephalopoda	Histioteuthis	decapodiformes	12
Histioteuthis sp.	1400	24		0.3	Cephalopoda	Histioteuthis	decapodiformes	12
Illex conidetii	1400	38	0.2	0.3	Cephalopoda	Illex	decapodiformes	12
