aar;mnd;lengde;bredde;redskap;starttid;stopptid;taueT;bunndyp;opening;dist;tilstand;kvalitet;delnr;akode;art;latin;maal_fangst;fangstKvant;fangstAnt;maal_lprov;lengdemaal;lengdeProveKv;lengdeProveAnt;interv;kjonn;Min;Max;L000_009;L010_014;L015_019;L020_024;L025_029;L030_034;L035_039;L040_044;L045_049;L050_054;L055_059;L060_064;L065_069;L070_074;L075_079;L080_084;L085_089;L090_094;L095_099;L100_104;L105_109;L110_114;L115_119;L120_124;L125_129;L130_134;L135_139;L140_144;L145_149;L150_154;L155_159;L160_164;L165_169;L170_174;L175_179;L180_184;L185_189;L190_194;L195_199;L200_999;L1000_9999;Sum
1984;8;31.233;73.833;3100;850;950;1;342;-1;3.3;1;1;1;2;LODDE       ;MALLOTUS VILLOSUS;2;0.038;2;2;E;0.038;2;2; ;15;16.5;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
1984;8;31.233;73.833;3100;850;950;1;342;-1;3.3;1;1;1;2;UERSLEKTEN  ;SEBASTES;2;8;575;2;E;1.6;115;1; ;6;7.5;115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;115
1984;8;31.05;74.333;3100;1510;1610;1;299;-1;3;1;1;1;2;UERSLEKTEN  ;SEBASTES;1;3;225;1;E;0.2;15;1; ;8.5;12.2;2;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15
1984;8;31.05;74.333;3100;1510;1610;1;299;-1;3;1;1;1;7;999081;            ;1;1.5;30;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1984;8;31.05;74.333;3100;1510;1610;1;299;-1;3;1;1;1;2;BLÅSTEINBIT ;ANARHICHAS DENTICULATUS;1;15;2;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1984;8;31.05;74.333;3100;1510;1610;1;299;-1;3;1;1;1;2;FLEKKSTEINBI;ANARHICHAS MINOR;1;10;3;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1984;8;31.05;74.333;3100;1510;1610;1;299;-1;3;1;1;2;2;FLEKKSTEINBI;ANARHICHAS MINOR;1;1.5;15;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1984;8;31.05;74.333;3100;1510;1610;1;299;-1;3;1;1;1;2;GAPEFLYNDRE ;HIPPOGLOSSOIDES PLATESSOIDES;1;45;165;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1984;8;31.05;74.333;3100;1510;1610;1;299;-1;3;1;1;1;2;KROKULKE    ;ARTEDIELLUS ATLANTICUS;1;4.5;300;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1984;8;31.05;74.333;3100;1510;1610;1;299;-1;3;1;1;1;2;PANSERULKE  ;AGONUS CATAPHRACTUS;1;3;210;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
