ScientificName,aphiaID,AphiaID_worms,ScientificName_worms
Rajella fyllae,NA,105894,Rajella fyllae
Lycodes,NA,126104,Lycodes
Raja brachyura,NA,271509,Bathyraja brachyurops
Aporrhais serresianus,NA,138761,Aporrhais serresiana
Ophiothrix,NA,603698,Ophiothrix
Holothuria,NA,135382,Physalia
Macropodia,NA,205077,Macropodia
Isidella elongata,NA,125373,Isidella elongata
Alcyonium,NA,103529,Botryllus
Ergasticus clouei,NA,107317,Ergasticus clouei
Ostrea edulis,NA,140658,Ostrea edulis
Palicus caronii,NA,107466,Palicus caronii
Aurelia,NA,1076067,Grindelia
Gobius niger,NA,277418,Awaous commersoni
Antedon,NA,123349,Antedon
Macropodia rostrata,NA,107345,Macropodia rostrata
Bathynectes maravigna,NA,107377,Bathynectes maravigna
Turritella,NA,996329,Discula
Pilumnus spinifer,NA,107420,Pilumnus spinifer
Pagurus cuanensis,NA,411874,Pagurus cuanensis
Pseudosimnia adriatica,NA,430587,Pseudosimnia adriatica
Munida,NA,106835,Munida
Aptyxis syracusanus,NA,448924,Aptyxis syracusana
Philine aperta,NA,574582,Philine quadripartita
Galathea,NA,492282,Galatea
Lamellaria,NA,851131,Lamellidea
Nucula sulcata,NA,722857,Linucula hartvigiana
Pilumnus,NA,106941,Pilumnus
Pilumnus hirtellus,NA,107418,Pilumnus hirtellus
Anapagurus laevis,NA,107218,Anapagurus laevis
Hiatella,NA,138154,Lyonsia
Atelecyclus rotundatus,NA,107273,Atelecyclus rotundatus
Chaetaster longipes,NA,124004,Chaetaster longipes
Doris,NA,142222,Eurylepta
Pennatula,NA,135648,Pennella
Loligo ,NA,138139,Loligo
Alloteuthis,NA,138138,Alloteuthis
Myctophidae,NA,125498,Myctophidae
Periphylla ,NA,135252,Periphylla
Parastichopu,NA,,
      ,NA,,
Rossia ,NA,138481,Rossia
Indeterminatus,NA,,
Lebbeus pola,NA,,
Ctenodiscus crispatus,NA,123915,Ctenodiscus crispatus
Sabinea sept,NA,,
Bathyarca gl,NA,,
Ophiura sars,NA,124934,Ophiura sarsii
Pteraster ob,NA,,
Urasterias,NA,123231,Urasterias
Priapula,NA,270500,Priapella
Sabinea sars,NA,107566,Sabinea sarsii
Amphiura sun,NA,,
Henricia,NA,1075631,Psiadia
Epimeria lor,NA,,
Retepora bea,NA,,
Astarte cren,NA,,
Brada  ,NA,129289,Brada
Themisto ,NA,101800,Themisto
Margarites,NA,138592,Margarites
Solaster gla,NA,,
Philine,NA,138339,Philine
Brada villos,NA,130099,Brada villosa
Animalia ,NA,2,Animalia
Cucumaria,NA,818196,Cucumerunio
Ctenodiscida,NA,,
Buccinum hyd,NA,,
Pagurus,NA,106854,Pagurus
Pectinaria ,NA,887519,Pectinaria
Ophiura,NA,123574,Ophiura
Bryozoa,NA,146142,Bryozoa
Macandrevia,NA,104046,Macandrevia
Gersemia ,NA,146953,Gersemia
Urasterias ,NA,123231,Urasterias
Pontaster te,NA,,
Drifa glomer,NA,,
Psolus ,NA,123456,Holothuria
Myxomycota,NA,,
Gonatus fabr,NA,,
Hyperiidea ,NA,1205,Hyperiidea
Trigoniidae,NA,492171,Trigoniidae
Pandalus ,NA,107044,Pandalus
Pteraster,NA,123335,Pteraster
Pteraster mi,NA,,
Brada inhabi,NA,,
Sedentaria ,NA,754175,Sedentaria
Halophila,NA,144192,Halophila
Chlamys,NA,135639,Perissopus
Polyphysia ,NA,129553,Polyphysia
Semaeognathi,NA,,
Eualus gaima,NA,,
Eusirus holm,NA,,
Cassidulina,NA,205152,Cassidula
Crangonidae,NA,106782,Crangonidae
Eurythenes,NA,101607,Eurythenes
Oedicerotida,NA,,
Karnekampia,NA,393809,Karnekampia
Colus gracil,NA,138899,Colus gracilis
Errantia ,NA,754174,Errantia
Aega psora ,NA,118827,Aega psora
Melitidae,NA,101397,Melitidae
Cyanea ,NA,135259,Cyanea
Hamingia arc,NA,,
Brachiopoda,NA,1803,Brachiopoda
