ScientificName,aphiaID,AphiaID_worms,ScientificName_worms
      ,NA,,
Actinia,NA,123488,Pentacta
Actinostola,NA,100709,Actinostola
Actinostolid,NA,,
Adamsia,NA,395239,Agnewia
Aega   ,NA,884909,Samoana
Aega psora ,NA,118827,Aega psora
Aequipecten,NA,138313,Aequipecten
Aequorea ,NA,116998,Aequorea
Alcyonidiida,NA,,
Alcyonium,NA,103529,Botryllus
Alcyonium,NA,103529,Botryllus
Alloteuthis,NA,138138,Alloteuthis
Alosa agone,NA,416357,Alosa agone
Ampharete,NA,129155,Ampharete
Amphiura chi,NA,,
Amphiura fil,NA,,
Amphiura sun,NA,,
Amphiuridae,NA,123206,Amphiuridae
Ampithoidae,NA,101366,Ampithoidae
Anapagurus laevis,NA,107218,Anapagurus laevis
Animalia ,NA,2,Animalia
Anonyx ,NA,101592,Anonyx
Anseropoda,NA,123280,Anseropoda
Antedon,NA,123349,Antedon
Aplacophora,NA,411,Aplacophora
Aplysiidae ,NA,172,Aplysiidae
Aporrhaidae,NA,22988,Aporrhaidae
Aporrhais,NA,137656,Aporrhais
Aporrhais pe,NA,,
Aporrhais se,NA,,
Aporrhais serresianus,NA,138761,Aporrhais serresiana
Aptyxis syracusanus,NA,448924,Aptyxis syracusana
Arctinula gr,NA,,
Arrhis phyll,NA,,
Ascidia,NA,103483,Ascidia
Ascidia prun,NA,,
Ascidia virg,NA,,
Ascidiella,NA,603838,Ascidiella
Ascidiella ,NA,603838,Ascidiella
Ascidiidae ,NA,103443,Ascidiidae
Astacilla,NA,118445,Astacilla
Astarte,NA,137683,Astarte
Astarte cren,NA,,
Astarte sulc,NA,,
Asterias ,NA,123219,Asterias
Asterias rubens,NA,123776,Asterias rubens
Asteridae,NA,234497,
Asteriidae ,NA,123121,Asteriidae
Asteronyx lo,NA,,
Atelecyclus rotundatus,NA,107273,Atelecyclus rotundatus
Aurelia,NA,1076067,Grindelia
Axinella ,NA,518920,Caballeraxine
Axinella inf,NA,,
Axinellidae,NA,131629,Axinellidae
Balanus,NA,106122,Balanus
Bathyarca,NA,137673,Bathyarca
Bathyarca gl,NA,,
Bathynectes maravigna,NA,107377,Bathynectes maravigna
Bathypolypod,NA,,
Belone belone,NA,126375,Belone belone
Bolocera ,NA,100698,Bolocera
Boreomysis,NA,119842,Boreomysis
Boreomysis ,NA,119842,Boreomysis
Boreoscala,NA,391167,Boreoscala
Botryllus sc,NA,,
Brachiopoda,NA,1803,Brachiopoda
Brachioteuth,NA,,
Brada  ,NA,129289,Brada
Brada inhabi,NA,,
Brada villos,NA,130099,Brada villosa
Branchiopoda,NA,1150178,Branchipus
Brisaster fr,NA,,
Brissopsis,NA,123418,Brissopsis
Bryozoa,NA,146142,Bryozoa
Buccinum fra,NA,,
Buccinum gla,NA,,
Buccinum hyd,NA,,
Buccinum pol,NA,,
Bugula flabe,NA,,
Bulbus smith,NA,,
Bythocaris ,NA,106983,Bythocaris
Campanularii,NA,,
Capros aper,NA,127419,Capros aper
Carapidae,NA,125504,Carapidae
Careproctus,NA,126156,Careproctus
Careproctus,NA,126156,Careproctus
Careproctus,NA,126156,Careproctus
Caridea,NA,106674,Caridea
Cassidulina,NA,205152,Cassidula
Centrophorus squamosus,NA,105901,Centrophorus squamosus
Ceramaster ,NA,123291,Ceramaster
Chaceon,NA,106917,Chaceon
Chaetaster longipes,NA,124004,Chaetaster longipes
Chartella pa,NA,,
Cheilostomat,NA,,
Chelidonichthys lucernus,NA,127262,Chelidonichthys lucerna
Chlamys,NA,135639,Perissopus
Chorda ,NA,144197,Chorda
Cidaris cida,NA,,
Ciona  ,NA,103488,Ciona
Cirolanidae,NA,118273,Cirolanidae
Cirroteuthid,NA,,
Cladorhizida,NA,,
Cleippides,NA,101512,Cleippides
Coelorinchus labitus,NA,280299,Coelorinchus labiatus
Colus  ,NA,137704,Colus
Colus gracil,NA,138899,Colus gracilis
Colus island,NA,,
Colus pubesc,NA,,
Corella para,NA,,
Crangon,NA,106978,Alpheus
Crangon allm,NA,,
