"family","genus","species","lme","fao","level","FB_E_Code","source","type.length","taxo","b","a"
"Triglidae","Eutrigla","gurnardus",22,27,"species",139,"fb","TL","spe-LME",3.15950000286102,0.00505000003613532
"Callionymidae","Callionymus","lyra",22,27,"species",139,"fb","TL","spe-LME",2.67766666412354,0.0118000001336137
"Soleidae","Solea","solea",22,27,"species",139,"fb","TL","spe-LME",3.06631428854806,0.00737199998859848
"Gadidae","Gadus","morhua",22,27,"species",139,"fb","TL","spe-LME",3.08440003395081,0.007181999925524
"Pleuronectidae","Hippoglossoides","platessoides",22,27,"species",139,"fb","TL","spe-LME",3.2039999961853,0.00439999997615814
"Pleuronectidae","Limanda","limanda",22,27,"species",139,"fb","TL","spe-LME",3.10099997520447,0.00776200005784631
"Gadidae","Merlangius","merlangus",22,27,"species",139,"fb","TL","spe-LME",3.18049991130829,0.00482499983627349
"Pleuronectidae","Pleuronectes","platessa",22,27,"species",139,"fb","TL","spe-LME",3.12099993228912,0.00778000010177493
"Scombridae","Scomber","scombrus",22,27,"species",139,"fb","TL","spe-LME",3.06200003623962,0.00666500022634864
"Gadidae","Trisopterus","minutus",22,27,"species",139,"fb","TL","spe-LME",3.02600002288818,0.00920000020414591
"Clupeidae","Clupea","harengus",22,27,"species",139,"fb","TL","spe-LME",3.16431048041896,0.0050101578725796
"Clupeidae","Sprattus","sprattus",22,27,"species",139,"fb","TL","spe-LME",3.22000002861023,0.00410000002011657
"Pleuronectidae","Microstomus","kitt",22,27,"species",139,"fb","TL","spe-LME",3.04499995708466,0.0087500000372529
"Lotidae","Gaidropsarus","vulgaris",22,27,"species",139,"fb","TL","spe-LME",2.95900011062622,0.0108000002801418
"Gadidae","Trisopterus","esmarkii",22,27,"species",139,"fb","TL","spe-LME",3,0.00680000009015203
"Gadidae","Melanogrammus","aeglefinus",22,27,"species",139,"fb","TL","spe-Ocean",3.1416086839593,0.00596956520989213
"Gadidae","Trisopterus","luscus",22,27,"species",139,"fb","TL","spe-LME",3.17949998378754,0.00732250011060387
"Cyclopteridae","Cyclopterus","lumpus",22,27,"species",139,"fb","TL","spe-LME",2.93899989128113,0.0586999990046024
"Rajidae","Amblyraja","radiata",22,27,"species",139,"fb","TL","spe-FAO",2.19000005722046,0.157000005245209
"Squalidae","Squalus","acanthias",22,27,"species",139,"fb","TL","spe-Ocean",3.05726924309364,0.00471846156198388
"Anarhichadidae","Anarhichas","lupus",22,27,"species",139,"fb","TL","spe-LME",3.11500000953674,0.00600000028498471
"Gadidae","Pollachius","virens",22,27,"species",139,"fb","TL","spe-Ocean",3.04306878149509,0.00844562509155367
"Gadidae","Pollachius","pollachius",22,27,"species",139,"fb","TL","spe-LME",3.10833334922791,0.00595333334058523
"Sebastidae","Sebastes","",22,27,"genus",139,"fb","TL","gen-LME",3.13700008392334,0.0115000000223517
"Lotidae","Molva","molva",22,27,"species",139,"fb","TL","spe-LME",3.43600010871887,0.00100000004749745
"Agonidae","Agonus","cataphractus",22,27,"species",139,"fb","TL","spe-Ocean",2.7404500246048,0.0150000001303852
"Rajidae","Raja","clavata",22,27,"species",139,"fb","TL","spe-LME",3.21499999364217,0.00281000005391737
"Scophthalmidae","Scophthalmus","maximus",22,27,"species",139,"fb","TL","spe-LME",3.02788893381755,0.016391111123893
"Lotidae","Enchelyopus","cimbrius",22,27,"species",139,"fb","TL","spe-LME",3.10599994659424,0.00350000010803342
"Pleuronectidae","Glyptocephalus","cynoglossus",22,27,"species",139,"fb","TL","spe-LME",3.23500001430511,0.00275000010151416
"Lophiidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",2.81399997075399,0.0276000003019969
"Argentinidae","Argentina","",22,27,"genus",139,"fb","TL","gen-LME",3.05299997329712,0.00529999984428287
"Pleuronectidae","Platichthys","flesus",22,27,"species",139,"fb","TL","spe-LME",2.89212501049042,0.0165033749653958
"Rajidae","Dipturus","",22,27,"genus",139,"fb","TL","gen-FAO",3.53900003433228,0.00047999998787418
"Rajidae","Leucoraja","naevus",22,27,"species",139,"fb","TL","spe-FAO",3.31100002924601,0.00191666667039196
"Stichaeidae","Lumpenus","lampretaeformis",22,27,"species",139,"fb","TL","spe-Ocean",2.26884996891022,0.011350000044331
"Merlucciidae","Merluccius","merluccius",22,27,"species",139,"fb","TL","spe-LME",2.98100006580353,0.00819800002500415
"Cottidae","Triglops","murrayi",22,27,"species",139,"fb","TL","spe-Ocean",3,0.00880332756787539
"Scyliorhinidae","Scyliorhinus","canicula",22,27,"species",139,"fb","TL","spe-LME",2.90400004386902,0.00335999997332692
"Gadidae","Micromesistius","poutassou",22,27,"species",139,"fb","TL","spe-LME",3.08200001716614,0.00374999991618097
"Rajidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.20428575788225,0.00319142855836877
"Carangidae","Trachurus","trachurus",22,27,"species",139,"fb","TL","spe-LME",3.13574999570847,0.0054474999778904
"Callionymidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",2.67766666412354,0.0118000001336137
"Lophiidae","Lophius","piscatorius",22,27,"species",139,"fb","TL","spe-LME",2.81399997075399,0.0276000003019969
"Cottidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.19450002908707,0.00992500002030283
"Gobiidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3,0.0110999997705221
"Ammodytidae",NA,"",22,27,"family",139,"fb","TL","fam-FAO",2.55999994277954,0.00980000011622906
"Scophthalmidae","Lepidorhombus","whiffiagonis",22,27,"species",139,"fb","TL","spe-FAO",3.13676247000694,0.00423124991357327
"Scophthalmidae","Scophthalmus","rhombus",22,27,"species",139,"fb","TL","spe-LME",3.03540003299713,0.0145380001980811
"Clupeidae","Alosa","",22,27,"genus",139,"fb","TL","gen-LME",3.04234999418259,0.00855150009156205
"Rajidae","Raja","brachyura",22,27,"species",139,"fb","TL","spe-LME",3.23300004005432,0.00280999997630715
"Soleidae","Buglossidium","luteum",22,27,"species",139,"fb","TL","spe-FAO",3.37000000476837,0.00498999992851168
"Rajidae","Raja","montagui",22,27,"species",139,"fb","TL","spe-LME",3.31100010871887,0.00200999993830919
"Scophthalmidae","Phrynorhombus","norvegicus",22,27,"species",139,"fb","TL","spe-FAO",2.90499997138977,0.016100000590086
"Soleidae","Microchirus","variegatus",22,27,"species",139,"fb","TL","spe-FAO",3.12799996137619,0.00996749993646517
"Callionymidae","Callionymus","",22,27,"genus",139,"fb","TL","gen-LME",2.67766666412354,0.0118000001336137
"Sparidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.04433044143345,0.0179500001604142
"Bothidae",NA,"",22,27,"family",139,"fb","TL","fam-FAO",3.14766667286555,0.00801749996996174
"Triglidae","Chelidonichthys","cuculus",22,27,"species",139,"fb","TL","spe-LME",3.22666660944621,0.00491666669646899
"Scophthalmidae","Zeugopterus","regius",22,27,"species",139,"fb","TL","gen-LME",3.14599990844727,0.0138999996706843
"Bothidae","Arnoglossus","laterna",22,27,"species",139,"fb","TL","spe-FAO",3.22574996948242,0.00526499998522922
"Engraulidae","Engraulis","encrasicolus",22,27,"species",139,"fb","TL","spe-LME",2.98099994659424,0.0065399999730289
"Sebastidae","Sebastes","viviparus",22,27,"species",139,"fb","TL","spe-LME",3.13700008392334,0.0115000000223517
"Ammodytidae","Ammodytes","",22,27,"genus",139,"fb","TL","gen-FAO",2.55999994277954,0.00980000011622906
"Pleuronectidae","Hippoglossus","hippoglossus",22,27,"species",139,"fb","TL","spe-LME",3.1010000705719,0.020299999974668
"Anarhichadidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.11500000953674,0.00600000028498471
"Lotidae","Gaidropsarus","",22,27,"genus",139,"fb","TL","gen-LME",2.95900011062622,0.0108000002801418
"Rajidae","Raja","",22,27,"genus",139,"fb","TL","gen-LME",3.20428575788225,0.00319142855836877
"Phycidae","Phycis","blennoides",22,27,"species",139,"fb","TL","spe-LME",3.38899993896484,0.00219999998807907
"Chimaeridae","Chimaera","monstrosa",22,27,"species",139,"fb","TL","spe-FAO",3.27049994468689,0.00387000006594462
"Gadidae","Gadiculus","argenteus",22,27,"species",139,"fb","TL","spe-FAO",3.32133332888285,0.00417666664967934
"Lotidae","Brosme","brosme",22,27,"species",139,"fb","TL","spe-Ocean",2.92197995185852,0.0273172088898718
"Gobiidae","Pomatoschistus","",22,27,"genus",139,"fb","TL","gen-FAO",3.15666675567627,0.00755333326136072
"Gobiidae","Aphia","minuta",22,27,"species",139,"fb","TL","spe-FAO",3.52666666110357,0.00122424997728861
"Trachinidae","Echiichthys","vipera",22,27,"species",139,"fb","TL","spe-FAO",3.04999995231628,0.010499999858439
"Liparidae","Liparis","",22,27,"genus",139,"fb","TL","gen-Ocean",3.07795000076294,0.014600926078856
"Ammodytidae","Hyperoplus","lanceolatus",22,27,"species",139,"fb","TL","spe-Ocean",2.69670009613037,0.00659999996423721
"Sternoptychidae","Maurolicus","muelleri",22,27,"species",139,"fb","TL","spe-Ocean",3.96099996566772,0.00164000003132969
"Triakidae","Mustelus","",22,27,"genus",139,"fb","TL","gen-LME",3.1599999666214,0.00200000003678724
"Gasterosteidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",2.94099998474121,0.00836666665660838
"Zoarcidae","Lycodes","vahlii",22,27,"species",139,"fb","TL","gen-FAO",4.09569978713989,9.99999974737875e-05
"Cottidae","Myoxocephalus","scorpius",22,27,"species",139,"fb","TL","spe-LME",3.25700008869171,0.00830000010319054
"Trachinidae","Trachinus","draco",22,27,"species",139,"fb","TL","spe-LME",2.97200000286102,0.00713500007987022
"Anarhichadidae","Anarhichas","",22,27,"genus",139,"fb","TL","gen-LME",3.11500000953674,0.00600000028498471
"Ammodytidae","Ammodytes","tobianus",22,27,"species",139,"fb","TL","spe-FAO",2.55999994277954,0.00980000011622906
"Gasterosteidae","Gasterosteus","aculeatus aculeatus",22,27,"species",139,"fb","TL","gen-LME",3.04900002479553,0.010499999858439
"Zoarcidae","Lycodes","",22,27,"genus",139,"fb","TL","gen-FAO",4.09569978713989,9.99999974737875e-05
"Etmopteridae","Etmopterus","spinax",22,27,"species",139,"fb","TL","spe-FAO",3.13499999046326,0.00282333333355685
"Salmonidae","Salmo","trutta trutta",22,27,"species",139,"fb","TL","gen-LME",3.06599998474121,0.00829499983228743
"Syngnathidae","Syngnathus","",22,27,"genus",139,"fb","TL","gen-LME",3.23399996757507,0.000202300001546973
"Stichaeidae",NA,"",22,27,"family",139,"fb","TL","fam-Ocean",2.73141430105482,0.039298572377967
"Myxinidae","Myxine","glutinosa",22,27,"species",139,"fb","TL","spe-Ocean",2.83570003509521,0.00219999998807907
"Anguillidae","Anguilla","anguilla",22,27,"species",139,"fb","TL","spe-LME",3.06480769010691,0.00215523074663137
"Petromyzontidae","Petromyzon","marinus",22,27,"species",139,"fb","TL","spe-Ocean",3,0.00208000000566244
"Congridae","Conger","conger",22,27,"species",139,"fb","TL","spe-LME",3.19299999872843,0.00157333334694461
"Sebastidae","Helicolenus","dactylopterus",22,27,"species",139,"fb","TL","spe-FAO",3.10075002908707,0.0112000000663102
"Rajidae","Leucoraja","fullonica",22,27,"species",139,"fb","TL","gen-FAO",3.31100002924601,0.00191666667039196
"Triglidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.10846152672401,0.0067030769916108
"Scophthalmidae","Zeugopterus","punctatus",22,27,"species",139,"fb","TL","spe-LME",3.14599990844727,0.0138999996706843
"Lotidae","Ciliata","",22,27,"genus",139,"fb","TL","gen-LME",3,0.0063999998383224
"Zoarcidae","Zoarces","viviparus",22,27,"species",139,"fb","TL","spe-LME",3.25,0.0019000000320375
"Syngnathidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.03680000305176,0.000247719998878893
"Clupeidae","Sardina","pilchardus",22,27,"species",139,"fb","TL","spe-LME",3.05849993228912,0.00597000005654991
"Zoarcidae","Lycenchelys","sarsii",22,27,"species",139,"fb","TL","gen-FAO",2.90100002288818,0.00252000009641051
"Cottidae","Taurulus","bubalis",22,27,"species",139,"fb","TL","spe-LME",3,0.0153999999165535
"Anguillidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.06480769010691,0.00215523074663137
"Syngnathidae","Entelurus","aequoreus",22,27,"species",139,"fb","TL","spe-LME",3,0.00022000000171829
"Ammodytidae","Ammodytes","marinus",22,27,"species",139,"fb","TL","spe-Ocean",3.43950009346008,0.00100000004749745
"Rajidae","Raja","undulata",22,27,"species",139,"fb","TL","spe-LME",3.12400007247925,0.00414999993517995
"Anarhichadidae","Anarhichas","minor",22,27,"species",139,"fb","TL","gen-LME",3.11500000953674,0.00600000028498471
"Lotidae","Molva","dypterygia",22,27,"species",139,"fb","TL","spe-Ocean",3.1489999294281,0.00190999999176711
"Pholidae","Pholis","gunnellus",22,27,"species",139,"fb","TL","spe-LME",3.01799988746643,0.00430000014603138
"Gadidae","Raniceps","raninus",22,27,"species",139,"fb","TL","spe-Ocean",3.26699995994568,0.00620000017806888
"Zeidae","Zeus","faber",22,27,"species",139,"fb","TL","spe-LME",2.9539999961853,0.019033333286643
"Gobiidae","Crystallogobius","linearis",22,27,"species",139,"fb","TL","fam-LME",3,0.0110999997705221
"Cyclopteridae",NA,"",22,27,"family",139,"fb","TL","fam-LME",2.93899989128113,0.0586999990046024
"Osmeridae","Osmerus","eperlanus",22,27,"species",139,"fb","TL","spe-Ocean",2.85349988937378,0.00939999986439943
"Triakidae","Galeorhinus","galeus",22,27,"species",139,"fb","TL","spe-Ocean",2.97075710977827,0.00801428572906713
"Scyliorhinidae","Scyliorhinus","stellaris",22,27,"species",139,"fb","TL","spe-Ocean",3.16700005531311,0.0020000000949949
"Mullidae","Mullus","surmuletus",22,27,"species",139,"fb","TL","spe-LME",3.19316669305166,0.00731333337413768
"Scomberesocidae","Scomberesox","saurus saurus",22,27,"species",139,"fb","TL","gen-FAO",3.19300007820129,0.00150000001303852
"Gadidae","Gadiculus","",22,27,"genus",139,"fb","TL","gen-FAO",3.32133332888285,0.00417666664967934
"Gobiidae","Gobius","",22,27,"genus",139,"fb","TL","gen-LME",3,0.0110999997705221
"Carapidae","Echiodon","drummondii",22,27,"species",139,"fb","TL","spe-Ocean",3,0.000592592579778284
