family,genus,species,lme,uni,mergeLME,fao,level,FB_E_Code,source,type.length,taxo,b,a
Ammodytidae,NA,,22,Ammodytidae NA  22,22,27,family,139,fb,TL,fam-FAO,2.559999943,0.0098
Ammodytidae,NA,,20,Ammodytidae NA  20,22,27,family,139,fb,TL,fam-FAO,2.559999943,0.0098
Ammodytidae,NA,,21,Ammodytidae NA  21,22,27,family,139,fb,TL,fam-FAO,2.559999943,0.0098
Anarhichadidae,NA,,20,Anarhichadidae NA  20,22,27,family,139,fb,TL,fam-LME,3.11500001,0.006
Anarhichadidae,NA,,22,Anarhichadidae NA  22,22,27,family,139,fb,TL,fam-LME,3.11500001,0.006
Anarhichadidae,NA,,21,Anarhichadidae NA  21,22,27,family,139,fb,TL,fam-LME,3.11500001,0.006
Argentinidae,NA,,22,Argentinidae NA  22,22,27,family,139,fb,TL,fam-LME,3.052999973,0.0053
Argentinidae,NA,,21,Argentinidae NA  21,22,27,family,139,fb,TL,fam-LME,3.052999973,0.0053
Bothidae,NA,,22,Bothidae NA  22,22,27,family,139,fb,TL,fam-FAO,3.147666673,0.0080175
Callionymidae,NA,,22,Callionymidae NA  22,22,27,family,139,fb,TL,fam-LME,2.677666664,0.0118
Callionymidae,NA,,21,Callionymidae NA  21,22,27,family,139,fb,TL,fam-LME,2.677666664,0.0118
Callionymidae,NA,,20,Callionymidae NA  20,22,27,family,139,fb,TL,fam-LME,2.677666664,0.0118
Cottidae,NA,,20,Cottidae NA  20,22,27,family,139,fb,TL,fam-LME,3.194500029,0.009925
Cottidae,NA,,22,Cottidae NA  22,22,27,family,139,fb,TL,fam-LME,3.194500029,0.009925
Cottidae,NA,,21,Cottidae NA  21,22,27,family,139,fb,TL,fam-LME,3.194500029,0.009925
Cyclopteridae,NA,,20,Cyclopteridae NA  20,22,27,family,139,fb,TL,fam-LME,2.938999891,0.058699999
Cyclopteridae,NA,,21,Cyclopteridae NA  21,22,27,family,139,fb,TL,fam-LME,2.938999891,0.058699999
Gasterosteidae,NA,,20,Gasterosteidae NA  20,22,27,family,139,fb,TL,fam-LME,2.940999985,0.008366667
Gobiidae,NA,,22,Gobiidae NA  22,22,27,family,139,fb,TL,fam-LME,3,0.0111
Gobiidae,NA,,21,Gobiidae NA  21,22,27,family,139,fb,TL,fam-LME,3,0.0111
Gobiidae,NA,,20,Gobiidae NA  20,22,27,family,139,fb,TL,fam-LME,3,0.0111
Liparidae,NA,,20,Liparidae NA  20,22,27,family,139,fb,TL,fam-Ocean,3.148568735,0.015140559
Liparidae,NA,,21,Liparidae NA  21,22,27,family,139,fb,TL,fam-Ocean,3.148568735,0.015140559
Lophiidae,NA,,22,Lophiidae NA  22,22,27,family,139,fb,TL,fam-LME,2.813999971,0.0276
